number,id,place,sleep,sport,experience,effect,hygiene,outside,videogame,gamesay,study,social,nap,cluster,dormitory,password
385,190386,2,1,2,1,3,1,1,3,2,2,3,1,93,419,123456
386,190387,2,1,3,1,1,1,1,2,2,2,3,1,93,419,123456
387,190388,2,2,1,2,1,1,2,2,2,2,3,2,182,808,123456
388,190389,2,2,4,2,2,1,2,2,1,1,2,2,182,808,123456
389,190390,2,2,3,1,1,4,1,3,2,2,3,2,161,712,123456
390,190391,2,2,3,1,1,4,1,2,2,1,2,2,161,712,123456
391,190392,2,1,1,2,2,3,1,2,1,3,3,2,16,117,123456
392,190393,1,1,2,2,1,1,1,3,2,3,2,1,120,521,123456
393,190394,1,2,3,2,3,4,1,1,2,3,3,2,4,105,123456
394,190395,2,2,4,2,3,2,2,3,2,1,2,1,182,808,123456
395,190396,2,1,1,2,1,4,2,1,1,2,1,1,48,224,123456
396,190397,2,1,2,1,1,2,2,2,2,1,2,2,68,319,123456
397,190398,2,2,2,1,1,2,1,2,2,1,2,1,93,419,123456
398,190399,1,1,1,1,2,3,2,2,2,1,2,2,138,614,123456
399,190400,2,2,1,2,1,1,1,2,1,3,3,2,120,521,123456
400,190401,1,1,2,1,2,3,2,2,1,3,1,1,32,208,123456
401,190402,2,1,2,1,2,1,1,1,1,3,2,2,93,419,123456
402,190403,2,1,3,1,1,3,2,1,1,3,1,1,32,208,123456
403,190404,1,1,2,1,3,1,2,3,1,2,1,1,33,209,123456
404,190405,2,1,1,1,1,4,2,2,2,1,3,2,68,319,123456
405,190406,2,1,1,2,2,3,2,2,1,3,2,1,48,224,123456
406,190407,2,1,3,2,3,3,2,3,1,2,2,1,48,224,123456
407,190408,2,2,4,1,3,1,2,3,2,3,1,1,33,209,123456
408,190409,2,2,4,1,2,4,1,3,2,2,1,2,161,712,123456
409,190410,2,2,1,2,1,2,1,3,2,1,1,1,120,521,123456
410,190411,2,2,1,2,3,1,1,3,2,1,1,1,120,521,123456
411,190412,1,1,3,2,1,1,1,1,2,2,2,2,120,521,123456
412,190413,2,2,1,1,2,3,2,2,1,1,3,2,69,320,123456
413,190414,2,2,4,1,1,2,1,3,2,3,2,1,94,420,123456
414,190415,2,2,4,2,1,4,1,1,2,1,1,1,4,105,123456
415,190416,1,2,2,2,3,1,2,1,2,1,1,1,182,808,123456
416,190417,2,2,4,1,1,3,2,1,2,1,1,2,69,320,123456
417,190418,1,1,1,1,3,2,2,2,1,3,3,2,139,615,123456
418,190419,2,1,3,1,1,1,1,3,1,2,3,1,94,420,123456
419,190420,1,2,2,1,2,3,2,1,2,2,2,2,139,615,123456
420,190421,2,1,1,2,3,1,1,2,2,3,1,2,121,522,123456
421,190422,2,2,1,1,3,4,1,2,1,2,1,1,161,712,123456
422,190423,1,2,2,1,3,1,1,1,1,2,2,2,94,420,123456
423,190424,1,1,2,1,3,3,1,3,1,2,2,1,162,713,123456
424,190425,2,2,1,2,2,4,1,1,2,2,2,2,5,106,123456
425,190426,1,2,1,2,3,4,1,3,2,3,3,2,5,106,123456
426,190427,2,1,4,2,3,3,1,3,1,1,3,2,17,118,123456
427,190428,1,2,3,1,3,4,1,3,2,2,2,1,162,713,123456
428,190429,2,2,1,2,3,1,1,3,1,2,3,2,121,522,123456
429,190430,1,1,3,1,1,2,1,1,1,3,1,2,94,420,123456
430,190431,1,2,4,2,3,3,2,2,2,1,2,2,182,808,123456
431,190432,2,1,4,1,2,2,2,2,1,2,2,1,69,320,123456
432,190433,1,2,3,1,3,3,2,2,1,2,1,2,33,209,123456
433,190434,2,2,4,2,3,1,2,3,1,2,3,2,183,809,123456
434,190435,1,1,4,2,2,4,1,3,1,3,2,1,17,118,123456
435,190436,2,2,1,2,3,2,1,2,1,1,1,1,121,522,123456
436,190437,1,2,3,2,2,1,2,1,2,2,2,1,183,809,123456
437,190438,1,1,4,1,2,3,1,3,1,3,2,1,162,713,123456
438,190439,2,1,2,1,3,2,1,1,1,2,2,2,94,420,123456
439,190440,1,2,4,2,3,2,2,2,2,2,1,2,183,809,123456
440,190441,1,1,2,1,3,3,1,2,1,1,1,2,162,713,123456
441,190442,1,2,4,1,2,3,2,1,2,3,1,2,33,209,123456
442,190443,1,1,1,2,3,4,1,3,1,1,2,1,17,118,123456
443,190444,2,2,1,2,3,2,1,1,2,3,3,1,5,106,123456
444,190445,1,2,4,2,2,4,2,1,2,3,3,1,183,809,123456
445,190446,1,1,2,1,2,3,2,2,2,2,1,2,33,209,123456
446,190447,1,1,3,1,1,2,2,1,1,1,3,1,139,615,123456
447,190448,2,2,3,1,3,4,2,3,2,2,3,2,69,320,123456
448,190449,1,1,2,1,3,1,1,2,2,1,1,1,95,421,123456
449,190450,1,1,2,2,1,2,1,1,2,3,3,2,17,118,123456
450,190451,2,2,1,2,1,4,2,3,1,2,3,2,183,809,123456
451,190452,1,2,4,1,3,4,1,1,2,2,3,1,162,713,123456
452,190453,2,1,1,2,2,3,2,1,1,2,2,1,48,224,123456
453,190454,1,1,1,1,1,1,1,2,2,3,3,2,95,421,123456
454,190455,2,2,2,1,1,3,2,3,2,2,3,2,69,320,123456
455,190456,2,2,2,1,2,2,1,3,2,3,3,1,95,421,123456
456,190457,1,1,3,1,3,1,1,3,1,1,1,2,95,421,123456
457,190458,2,2,1,1,1,1,2,3,2,1,1,1,70,321,123456
458,190459,2,2,4,2,2,1,2,1,2,2,1,2,184,810,123456
459,190460,2,2,2,1,3,2,2,3,2,1,2,1,70,321,123456
460,190461,2,2,2,2,1,2,2,1,2,3,3,2,184,810,123456
461,190462,1,1,4,2,3,4,1,2,2,2,1,1,17,118,123456
462,190463,2,2,3,1,1,2,2,2,2,2,2,1,70,321,123456
463,190464,1,2,4,2,1,4,2,3,1,2,3,2,184,810,123456
464,190465,2,1,2,2,3,1,1,3,2,1,1,1,121,522,123456
465,190466,1,2,1,1,2,2,1,2,1,2,1,2,95,421,123456
466,190467,1,1,4,2,1,3,1,1,2,1,3,2,18,119,123456
467,190468,2,1,3,2,3,2,2,2,2,3,1,2,49,225,123456
468,190469,1,2,3,1,1,3,1,2,1,3,1,2,163,714,123456
469,190470,1,1,4,2,1,4,2,2,2,3,1,1,49,225,123456
470,190471,1,2,4,2,3,3,2,1,2,1,3,2,184,810,123456
471,190472,2,1,4,1,3,2,2,2,2,1,3,1,70,321,123456
472,190473,1,2,4,1,3,2,1,2,2,3,1,2,96,422,123456
473,190474,2,2,1,1,1,2,1,1,1,2,1,1,96,422,123456
474,190475,1,2,4,2,1,3,2,3,2,3,1,2,184,810,123456
475,190476,1,2,3,2,3,4,1,1,1,2,1,2,5,106,123456
476,190477,2,2,3,1,1,3,1,1,2,1,1,1,163,714,123456
477,190478,2,1,2,2,2,2,1,1,1,3,1,1,121,522,123456
478,190479,2,2,2,1,2,2,1,2,2,1,3,2,96,422,123456
479,190480,1,2,1,1,2,3,2,1,1,3,1,1,139,615,123456
480,190481,2,2,4,1,1,4,1,3,1,1,2,1,163,714,123456
481,190482,2,2,3,1,1,3,1,2,1,3,1,2,163,714,123456
482,190483,1,1,1,2,1,1,2,1,2,3,2,2,49,225,123456
483,190484,1,1,1,1,1,1,2,3,1,1,2,2,139,615,123456
484,190485,1,2,3,1,2,2,1,2,1,2,3,2,96,422,123456
485,190486,2,2,1,2,1,3,1,2,1,3,2,1,122,523,123456
486,190487,2,2,2,1,2,1,2,2,1,1,2,1,70,321,123456
487,190488,1,1,1,1,3,4,1,2,1,3,2,2,163,714,123456
488,190489,1,2,4,2,1,3,1,1,2,2,2,2,5,106,123456
489,190490,2,1,4,2,3,4,1,2,2,3,1,2,18,119,123456
490,190491,2,1,3,2,3,4,2,3,2,1,3,2,49,225,123456
491,190492,2,2,1,1,2,4,1,2,1,1,1,2,164,715,123456
492,190493,1,2,4,1,2,2,2,3,1,2,1,2,140,616,123456
493,190494,1,2,2,2,1,1,1,1,2,3,1,1,122,523,123456
494,190495,1,2,3,2,2,3,2,2,1,2,1,1,185,811,123456
495,190496,1,2,1,1,1,2,2,3,1,2,2,1,140,616,123456
496,190497,2,1,2,1,2,2,2,1,1,3,1,2,34,210,123456
497,190498,2,1,4,2,2,1,1,2,2,1,2,2,122,523,123456
498,190499,2,2,3,1,3,1,1,3,1,2,2,2,96,422,123456
499,190500,2,2,2,2,2,1,2,2,2,3,3,2,185,811,123456
500,190501,2,1,4,2,2,1,1,2,2,3,2,1,122,523,123456
501,190502,1,2,2,1,2,4,1,2,1,1,2,1,164,715,123456
502,190503,2,2,1,1,3,4,2,2,1,1,3,2,71,322,123456
503,190504,2,1,2,2,2,2,1,3,1,3,2,1,122,523,123456
504,190505,2,2,3,2,3,3,1,3,1,2,1,1,123,524,123456
505,190506,1,2,2,2,3,2,2,2,1,1,2,2,185,811,123456
506,190507,2,2,3,2,2,4,1,1,1,1,3,1,6,107,123456
507,190508,1,2,4,2,2,4,2,1,1,3,3,1,185,811,123456
508,190509,2,2,4,2,3,3,1,1,2,1,2,1,6,107,123456
509,190510,1,2,4,1,1,1,2,1,1,2,1,1,140,616,123456
510,190511,1,2,3,2,2,2,2,1,2,2,1,2,185,811,123456
511,190512,2,2,2,1,1,1,2,1,2,1,3,1,71,322,123456
512,190513,1,1,2,2,1,3,1,3,2,2,3,1,18,119,123456
513,190514,2,1,2,2,2,4,1,2,2,3,2,1,18,119,123456
514,190515,2,2,4,1,1,1,2,2,2,1,3,1,71,322,123456
515,190516,1,1,1,2,2,2,1,2,2,1,2,1,123,524,123456
516,190517,2,1,1,2,3,1,2,1,1,1,3,2,49,225,123456
517,190518,1,2,4,1,1,4,2,1,2,3,2,2,34,210,123456
518,190519,1,1,3,2,3,3,1,3,2,3,2,2,18,119,123456
519,190520,1,2,4,1,2,1,2,1,1,1,3,1,140,616,123456
520,190521,1,2,4,2,3,1,1,1,1,2,1,2,123,524,123456
521,190522,2,1,2,1,3,1,1,1,2,3,3,2,97,423,123456
522,190523,1,2,4,1,1,3,1,1,2,2,2,1,97,423,123456
523,190524,1,2,1,2,2,3,1,1,2,3,1,1,6,107,123456
524,190525,2,1,2,1,2,4,2,1,2,2,1,1,34,210,123456
525,190526,2,1,3,1,2,2,1,3,1,2,3,2,97,423,123456
526,190527,2,2,4,2,3,4,2,2,2,3,1,1,186,812,123456
527,190528,1,1,4,1,1,1,2,3,1,2,1,1,140,616,123456
528,190529,1,2,3,2,3,3,1,3,1,2,3,2,6,107,123456
529,190530,2,1,1,1,2,1,2,1,1,3,3,1,71,322,123456
530,190531,2,2,2,2,1,3,2,3,2,3,2,1,186,812,123456
531,190532,2,1,3,2,2,2,1,1,1,1,1,1,123,524,123456
532,190533,2,2,1,1,3,3,2,1,1,1,2,2,71,322,123456
533,190534,2,1,4,2,2,1,1,3,2,1,1,2,123,524,123456
534,190535,2,2,4,2,1,1,1,3,2,3,1,2,124,525,123456
535,190536,1,1,2,2,1,4,2,1,1,2,1,2,50,301,123456
536,190537,2,1,4,2,1,4,2,1,1,3,2,2,50,301,123456
537,190538,1,2,3,1,3,2,1,2,1,1,3,1,97,423,123456
538,190539,2,2,4,1,2,4,1,3,1,2,3,1,164,715,123456
539,190540,2,2,4,2,3,4,1,2,2,1,3,2,6,107,123456
540,190541,2,1,3,2,2,1,2,1,2,3,1,2,50,301,123456
541,190542,2,1,2,1,3,2,1,3,2,1,2,1,97,423,123456
542,190543,2,2,2,2,3,1,2,1,2,2,1,2,186,812,123456
543,190544,2,1,3,2,1,4,2,2,2,3,1,1,50,301,123456
544,190545,1,1,3,2,2,2,1,2,2,3,2,1,19,120,123456
545,190546,1,2,2,2,2,3,1,1,1,3,2,1,7,108,123456
546,190547,1,2,1,1,1,3,1,2,2,1,2,2,164,715,123456
547,190548,1,2,3,1,3,4,2,3,2,3,3,1,34,210,123456
548,190549,2,1,1,1,2,1,2,2,1,2,2,2,72,323,123456
549,190550,2,1,4,1,3,4,2,1,1,1,2,2,72,323,123456
550,190551,1,2,1,1,3,2,1,1,1,1,2,1,98,424,123456
551,190552,1,1,2,1,3,1,2,1,1,1,1,2,141,617,123456
552,190553,2,2,1,2,1,3,2,3,1,3,2,2,186,812,123456
553,190554,2,1,4,2,1,2,1,3,2,1,3,2,19,120,123456
554,190555,1,1,4,2,1,1,2,1,1,1,1,2,50,301,123456
555,190556,2,1,3,1,2,2,2,1,2,3,3,1,72,323,123456
556,190557,1,2,2,2,1,2,2,1,1,3,3,2,186,812,123456
557,190558,2,1,1,2,1,1,2,2,1,3,3,2,51,302,123456
558,190559,2,1,4,1,3,4,1,1,2,1,2,2,164,715,123456
559,190560,1,2,2,2,2,4,2,3,1,2,1,2,187,813,123456
560,190561,1,2,1,2,3,4,1,3,1,1,3,1,7,108,123456
561,190562,1,1,3,1,1,4,2,3,2,3,2,1,34,210,123456
562,190563,2,1,1,2,1,2,2,3,2,1,2,1,51,302,123456
563,190564,2,1,4,1,1,1,1,2,2,2,1,2,98,424,123456
564,190565,1,1,3,2,1,4,1,3,1,1,1,2,19,120,123456
565,190566,2,2,3,2,1,1,1,2,1,2,2,1,124,525,123456
566,190567,2,1,4,1,2,2,1,3,2,3,1,1,98,424,123456
567,190568,1,2,1,1,1,2,1,2,1,3,3,1,98,424,123456
568,190569,2,1,2,2,2,4,1,2,2,2,2,1,19,120,123456
569,190570,1,1,3,1,3,1,1,2,1,3,1,2,98,424,123456
570,190571,1,2,1,1,3,3,2,1,2,1,3,2,141,617,123456
571,190572,2,1,2,2,1,4,1,1,1,2,3,2,19,120,123456
572,190573,1,2,4,1,3,2,1,2,2,1,3,2,99,425,123456
573,190574,1,2,1,2,3,2,1,2,1,3,3,1,124,525,123456
574,190575,1,1,3,2,1,2,1,3,1,3,3,1,20,121,123456
575,190576,2,2,2,2,3,2,2,2,2,3,2,1,187,813,123456
576,190577,2,1,1,1,1,1,2,2,1,3,2,1,72,323,123456
577,190578,2,2,3,2,3,1,2,2,2,2,1,2,187,813,123456
578,190579,2,2,1,1,1,1,1,3,1,3,1,1,99,425,123456
579,190580,1,1,4,2,3,3,2,2,2,1,2,1,51,302,123456
580,190581,1,1,4,1,3,3,1,2,2,1,1,2,99,425,123456
581,190582,1,1,4,2,2,2,2,1,1,1,1,2,51,302,123456
582,190583,2,2,4,1,1,1,1,2,2,1,1,1,99,425,123456
583,190584,2,1,2,1,1,4,1,2,1,1,1,1,165,716,123456
584,190585,1,1,1,1,3,3,1,2,1,3,2,1,165,716,123456
585,190586,1,1,2,1,3,4,1,1,1,3,3,1,165,716,123456
586,190587,1,2,1,2,3,1,2,3,2,3,2,2,187,813,123456
587,190588,1,2,3,1,1,2,2,2,2,2,3,1,141,617,123456
588,190589,1,2,4,2,1,4,1,2,1,1,1,1,7,108,123456
589,190590,1,1,2,2,3,4,2,2,1,2,2,2,51,302,123456
590,190591,1,1,3,2,3,1,1,1,1,2,1,2,124,525,123456
591,190592,1,2,4,2,3,3,2,1,2,2,1,2,187,813,123456
592,190593,2,2,4,2,2,3,1,1,2,3,2,1,7,108,123456
593,190594,1,1,1,1,1,3,2,3,1,3,3,1,141,617,123456
594,190595,1,2,4,1,3,3,2,1,2,1,1,2,35,211,123456
595,190596,2,1,1,1,2,2,2,3,1,2,1,1,35,211,123456
596,190597,2,2,2,2,2,1,1,1,1,3,1,1,124,525,123456
597,190598,1,1,1,2,1,1,1,1,1,1,3,2,125,601,123456
598,190599,2,1,2,1,1,2,1,1,1,2,2,2,99,425,123456
599,190600,1,1,1,1,3,3,2,2,1,2,1,1,35,211,123456
600,190601,1,2,1,1,2,4,1,1,1,2,1,1,165,716,123456
601,190602,2,1,2,2,1,2,2,2,2,3,2,1,52,303,123456
602,190603,2,2,2,2,1,4,2,1,2,3,3,2,188,814,123456
603,190604,2,2,3,1,2,3,1,3,1,1,1,1,165,716,123456
604,190605,1,2,1,2,2,3,2,1,1,1,1,2,188,814,123456
605,190606,2,2,3,1,3,4,1,1,1,1,3,2,166,717,123456
606,190607,2,1,2,1,2,2,2,2,1,3,1,2,35,211,123456
607,190608,1,1,1,1,2,1,1,1,1,2,1,1,100,501,123456
608,190609,2,1,1,1,1,3,2,2,1,2,1,1,72,323,123456
609,190610,1,1,1,2,3,4,1,2,2,1,2,1,20,121,123456
610,190611,2,1,2,1,3,4,1,3,1,1,3,1,166,717,123456
611,190612,1,2,4,2,2,1,1,3,2,1,2,1,125,601,123456
612,190613,2,1,3,1,3,2,2,1,2,1,1,1,35,211,123456
613,190614,1,2,4,1,2,2,1,1,2,2,2,1,100,501,123456
614,190615,1,1,3,1,3,3,2,3,1,1,1,1,36,212,123456
615,190616,1,2,2,1,2,2,1,2,1,3,1,2,100,501,123456
616,190617,2,1,4,2,1,3,1,3,2,2,2,1,20,121,123456
617,190618,2,2,3,2,1,2,2,2,2,3,3,2,188,814,123456
618,190619,1,1,2,2,3,3,2,3,1,1,3,2,52,303,123456
619,190620,1,1,4,2,3,2,2,2,2,1,2,1,52,303,123456
620,190621,1,2,4,2,2,3,1,1,1,3,1,2,7,108,123456
621,190622,1,1,4,1,1,2,1,2,1,3,2,1,100,501,123456
622,190623,1,1,2,1,2,4,1,1,1,2,2,1,166,717,123456
623,190624,1,1,1,2,2,4,2,3,1,3,2,2,52,303,123456
624,190625,1,1,4,2,1,1,2,3,1,3,1,2,52,303,123456
625,190626,1,2,1,2,3,4,2,3,2,3,2,1,188,814,123456
626,190627,2,1,2,2,3,2,2,3,1,3,2,1,53,304,123456
627,190628,2,1,2,1,1,4,1,3,2,1,1,2,166,717,123456
628,190629,2,2,3,2,3,1,1,3,1,1,1,1,125,601,123456
629,190630,1,2,2,2,3,2,2,3,1,2,2,1,188,814,123456
630,190631,1,2,2,2,3,2,2,1,2,2,3,1,189,815,123456
631,190632,1,2,3,1,2,2,2,1,2,2,2,2,141,617,123456
632,190633,2,2,1,2,1,2,2,1,2,1,2,1,189,815,123456
633,190634,2,2,4,1,1,3,2,2,2,1,2,2,73,324,123456
634,190635,1,2,3,2,3,1,1,1,1,1,2,2,125,601,123456
635,190636,1,1,1,1,1,2,1,2,2,2,2,1,100,501,123456
636,190637,2,2,1,2,1,2,1,1,2,3,2,2,125,601,123456
637,190638,1,1,1,1,1,1,1,3,2,3,1,2,101,502,123456
638,190639,2,2,2,2,2,1,1,1,1,3,2,1,126,602,123456
639,190640,1,2,2,2,1,3,2,1,1,3,1,1,189,815,123456
640,190641,1,1,3,2,1,1,1,1,1,1,3,1,126,602,123456
641,190642,1,2,3,2,2,2,2,2,1,1,1,2,189,815,123456
642,190643,1,1,2,2,1,2,2,1,1,1,2,1,53,304,123456
643,190644,2,2,4,2,1,2,1,2,2,1,3,1,8,109,123456
644,190645,1,1,3,1,1,4,2,1,2,2,1,2,36,212,123456
645,190646,1,1,3,2,3,3,2,3,1,3,3,1,53,304,123456
646,190647,1,2,1,2,1,2,2,3,2,1,2,1,189,815,123456
647,190648,2,2,2,1,3,3,1,1,1,2,3,2,101,502,123456
648,190649,1,1,3,1,2,3,1,1,1,1,2,2,101,502,123456
649,190650,2,2,4,2,1,1,1,1,1,1,3,1,126,602,123456
650,190651,2,1,2,1,3,4,1,3,2,1,2,1,166,717,123456
651,190652,2,1,2,1,1,1,1,2,1,3,2,2,101,502,123456
652,190653,2,1,4,1,1,1,2,1,1,1,2,1,73,324,123456
653,190654,1,2,3,2,2,4,1,1,1,3,3,2,8,109,123456
654,190655,2,1,1,1,1,3,1,3,2,3,3,2,167,718,123456
655,190656,2,1,1,2,2,3,1,2,1,3,2,2,20,121,123456
656,190657,2,1,4,2,3,3,1,1,1,3,3,2,20,121,123456
657,190658,1,2,1,1,1,3,2,2,1,2,2,1,142,618,123456
658,190659,2,2,4,2,1,4,1,2,2,3,2,2,8,109,123456
659,190660,1,2,1,2,2,2,1,1,2,2,1,2,126,602,123456
660,190661,2,1,2,1,1,4,1,3,1,1,2,1,167,718,123456
661,190662,1,1,1,1,1,4,2,2,2,1,2,2,142,618,123456
662,190663,2,1,1,2,1,1,2,2,1,2,1,1,53,304,123456
663,190664,2,1,2,1,1,3,2,1,1,2,2,1,73,324,123456
664,190665,2,1,4,2,3,2,2,2,1,3,3,2,53,304,123456
665,190666,1,1,1,2,3,3,1,2,2,2,2,2,21,122,123456
666,190667,1,1,4,1,3,3,2,1,1,2,1,2,36,212,123456
667,190668,1,2,4,1,1,2,1,3,2,1,3,2,101,502,123456
668,190669,1,2,4,1,3,2,2,2,2,3,3,1,36,212,123456
669,190670,2,2,4,1,2,2,1,2,1,1,2,2,102,503,123456
670,190671,2,2,1,1,1,1,2,2,2,3,1,1,36,212,123456
671,190672,1,2,2,1,3,1,1,3,2,1,2,1,102,503,123456
672,190673,2,2,4,1,1,2,2,3,1,3,3,1,73,324,123456
673,190674,1,2,3,2,2,1,1,3,1,2,1,2,126,602,123456
674,190675,1,2,4,1,3,4,1,2,1,1,1,1,167,718,123456
675,190676,1,1,4,2,2,4,1,1,2,1,2,1,21,122,123456
676,190677,2,2,2,1,3,3,2,1,1,1,1,2,37,213,123456
677,190678,1,1,2,2,2,2,1,1,2,2,1,2,127,603,123456
678,190679,2,2,2,2,3,4,2,2,1,3,1,2,190,816,123456
679,190680,1,2,1,2,3,2,2,2,2,2,1,1,190,816,123456
680,190681,1,2,4,2,1,1,1,1,2,1,1,1,127,603,123456
681,190682,1,2,1,1,3,4,2,2,1,2,1,2,142,618,123456
682,190683,1,2,3,1,1,4,1,2,1,1,1,1,167,718,123456
683,190684,1,1,2,1,3,2,2,1,2,2,1,2,37,213,123456
684,190685,2,2,4,1,1,2,2,2,1,2,2,2,73,324,123456
685,190686,1,2,3,1,1,4,2,1,2,1,2,2,142,618,123456
686,190687,2,2,2,2,2,4,1,2,2,1,2,2,8,109,123456
687,190688,1,1,3,1,2,4,2,1,1,1,3,2,142,618,123456
688,190689,1,2,4,2,2,2,2,2,2,1,2,1,190,816,123456
689,190690,1,2,2,1,2,4,2,3,2,1,3,1,143,619,123456
690,190691,2,2,4,1,1,4,1,3,2,3,2,2,167,718,123456
691,190692,1,2,3,2,3,4,1,3,1,2,3,1,8,109,123456
692,190693,2,1,3,2,3,1,2,3,1,1,3,1,54,305,123456
693,190694,1,2,3,1,1,1,2,2,1,1,3,2,143,619,123456
694,190695,2,1,4,1,2,1,2,1,2,2,2,2,37,213,123456
695,190696,2,1,4,2,3,3,1,2,2,1,3,2,21,122,123456
696,190697,1,2,2,1,3,3,2,2,1,3,1,1,37,213,123456
697,190698,1,2,1,1,2,2,1,2,2,3,2,2,102,503,123456
698,190699,1,2,1,2,2,2,1,3,1,2,3,1,127,603,123456
699,190700,2,2,3,1,2,2,2,2,1,2,2,2,74,325,123456
700,190701,2,2,3,2,3,2,1,3,2,3,2,2,127,603,123456
701,190702,2,1,2,1,1,3,2,1,1,3,2,1,74,325,123456
702,190703,1,1,3,1,3,2,1,3,2,1,3,1,102,503,123456
703,190704,1,2,4,1,2,4,1,1,1,3,3,2,168,719,123456
704,190705,1,1,3,1,1,4,1,3,2,3,2,1,168,719,123456
705,190706,2,2,1,1,3,1,1,2,2,3,3,1,102,503,123456
706,190707,2,1,3,2,1,2,2,2,2,2,3,2,54,305,123456
707,190708,2,2,1,2,2,2,1,3,1,3,3,1,127,603,123456
708,190709,1,2,1,2,2,4,1,1,2,1,3,1,9,110,123456
709,190710,1,2,4,2,2,2,2,2,2,3,2,1,190,816,123456
710,190711,1,2,1,1,3,2,1,2,2,3,2,2,103,504,123456
711,190712,1,1,2,1,3,2,2,3,2,2,1,2,37,213,123456
712,190713,1,2,3,2,2,4,2,1,1,1,1,2,190,816,123456
713,190714,2,1,1,2,2,1,1,2,1,2,2,1,128,604,123456
714,190715,2,2,3,2,3,3,2,3,2,1,1,2,191,817,123456
715,190716,1,2,1,2,1,1,1,2,2,2,3,1,128,604,123456
716,190717,2,2,3,2,2,2,2,1,2,3,1,2,191,817,123456
717,190718,2,1,3,2,2,1,1,2,1,1,2,2,128,604,123456
718,190719,1,2,4,2,1,1,1,3,1,1,3,2,128,604,123456
719,190720,1,1,2,1,3,1,2,3,2,1,3,1,143,619,123456
720,190721,1,2,1,1,2,2,1,1,1,1,2,1,103,504,123456
721,190722,1,2,3,1,2,1,2,1,1,2,3,1,143,619,123456
722,190723,1,1,2,1,3,3,1,2,2,1,3,2,103,504,123456
723,190724,1,2,2,1,3,2,1,1,1,3,1,2,103,504,123456
724,190725,1,2,2,1,1,2,1,1,1,2,1,1,103,504,123456
725,190726,2,2,4,2,2,1,2,1,2,2,2,1,191,817,123456
726,190727,1,1,4,1,2,1,2,2,2,3,3,2,143,619,123456
727,190728,1,2,3,1,3,2,2,3,1,2,1,1,38,214,123456
728,190729,2,2,1,2,3,1,2,3,2,2,1,2,191,817,123456
729,190730,1,2,3,2,3,3,1,3,1,3,3,2,9,110,123456
730,190731,2,1,3,1,3,1,2,3,1,1,1,2,38,214,123456
731,190732,1,2,1,1,3,4,1,3,1,2,1,2,168,719,123456
732,190733,2,1,2,2,3,3,1,1,2,2,2,1,21,122,123456
733,190734,2,1,3,1,3,4,1,2,2,3,3,1,168,719,123456
734,190735,2,2,3,1,3,1,1,3,2,1,1,1,104,505,123456
735,190736,1,1,3,1,2,2,1,3,2,3,2,2,104,505,123456
736,190737,2,1,3,2,3,1,1,1,2,2,2,1,128,604,123456
737,190738,2,2,3,2,2,1,1,2,2,3,1,1,129,605,123456
738,190739,2,2,3,1,1,2,1,1,1,3,3,1,104,505,123456
739,190740,2,1,3,2,2,2,2,1,2,2,3,1,54,305,123456
740,190741,1,2,3,1,3,1,1,2,2,1,2,1,104,505,123456
741,190742,1,2,2,1,1,1,1,3,2,1,1,2,104,505,123456
742,190743,1,2,3,1,3,4,1,3,1,3,3,1,168,719,123456
743,190744,2,2,3,2,1,2,2,1,1,2,3,2,191,817,123456
744,190745,2,2,4,1,1,4,2,3,1,1,2,1,74,325,123456
745,190746,1,1,3,2,3,3,2,1,2,2,3,1,54,305,123456
746,190747,1,1,4,2,3,4,2,1,1,3,3,2,54,305,123456
747,190748,2,2,2,2,2,4,2,1,2,1,2,2,192,818,123456
748,190749,1,2,2,2,2,4,1,2,2,3,2,1,9,110,123456
749,190750,2,2,4,2,1,3,1,2,1,2,1,1,9,110,123456
750,190751,1,2,2,1,2,1,1,2,1,1,1,1,105,506,123456
751,190752,1,2,1,2,1,1,2,2,1,3,3,1,192,818,123456
752,190753,1,2,2,2,3,4,1,3,1,1,1,1,9,110,123456
753,190754,2,1,3,2,3,1,1,3,1,3,1,2,129,605,123456
754,190755,2,2,2,1,2,4,2,1,2,2,2,1,74,325,123456
755,190756,2,2,1,2,2,2,1,3,1,3,1,2,129,605,123456
756,190757,2,1,1,2,2,1,2,1,1,3,1,1,55,306,123456
757,190758,1,1,1,1,3,2,2,1,1,1,2,2,144,620,123456
758,190759,1,1,1,2,2,1,1,1,1,3,2,2,129,605,123456
759,190760,2,2,4,1,2,2,1,2,1,1,2,2,105,506,123456
760,190761,1,1,4,2,2,3,1,1,1,1,1,2,21,122,123456
761,190762,1,1,2,2,3,4,1,1,1,3,1,1,22,123,123456
762,190763,1,2,3,1,1,2,1,1,1,2,2,2,105,506,123456
763,190764,2,1,3,1,1,1,1,3,2,3,3,2,105,506,123456
764,190765,1,2,3,2,1,4,2,1,1,1,3,1,192,818,123456
765,190766,1,1,3,1,3,1,2,3,1,2,2,2,144,620,123456
766,190767,1,1,4,1,3,2,2,2,2,3,3,1,38,214,123456
767,190768,1,2,3,2,3,2,1,3,1,2,2,1,129,605,123456
768,190769,2,1,2,2,2,4,1,1,2,3,2,1,22,123,123456
769,190770,2,2,4,2,2,4,1,1,2,1,3,1,10,111,123456
770,190771,2,1,4,2,2,1,1,3,2,1,2,2,22,123,123456
771,190772,1,1,4,2,3,2,1,3,2,2,3,2,22,123,123456
